unittitle	word	changed
Bapaume, Peufier dit	Pommery, Gabriel dit La Champignère	N
Durivaud (Alias Du Rivau,Du Rivaux	Durivaud	Y
Duroulet,Delle	Duroulet, Demoiselle	Y
Dussault (alias Dusault)	Dusault	Y
Duthora	Duthoya	Y
Esmon (alias Edmond)	Esmon	Y
Etienne de Chamflorie	Etienne de Champflour	Y
Fenelon	E	N
Ferrié (alias Le Ferrier)	Ferrier	N
Fontaine,François dit Saint Orange	François	N
Fonteneau (alias Fontenau)	Fonteneau	Y
Fremy,dit Bel-air	Remy	N
Gabet,Melle	Gabet, mademoiselle	Y
Galet,la femme	Galet, la femme	Y
Gastebois,demoiselle (alias Gattebois)	Gastebois, demoiselle	Y
Gaudin,dit Beaulieu	Beaulieu	N
Gaudy,Jean dit Delorme	Delorme	N
Geneteau (alias Genneteau)	Geneteau	Y
Gombaud de La Croix,Delle	Gombaud de La Croix, demoiselle	Y
Goupll	Goupil	Y
Gourreau (alias Gouraud)	Gourreau	Y
Grasse,Melle de	Grasse, mademoiselle de	Y
Guesne (alias Guines)	Guesne	Y
Labretèche,Melle	Labretèche, mademoiselle	Y
Lagrossinière,sieur de	Gros	N
Lamothe,Mademoiselle de	Selle de	N
Lanoue,monsieur de	Noué	N
Leblanc,Père Jésuite	Leblanc	N
L'estry (alias Listrek-Vrai nom:Lestrille)	L'Estry	Y
Mothe,Melle de (voir Lamothe)	Lamothe	N
Niorderie,sieur de	Desclouzeaux, Hubert de Champy	N
Noyan,Chairy de	Noyan, Chavry de	Y
Tercinien (alias Tercinier)	Serpaut (alias Serpau, Serpaud, Serpault)	N
Vaulx, Sieur de	Vauréal, sieur de	N
Boisquenet de	Bois	N
Chaineau Pierre dit La Violette	Chaineau, Pierre	Y
Béthune	E	N
Chateaubardon	Chateaubardon, sieur de	N
Conflans 	Conflans, monsieur de	N
Dorigné Pierre dit Solignonne	Dorigné, Pierre	Y
D’0rsay	D'Amfreville	N
Favrot	Favrot, Monsieur de	Y
Flamenville	Flamenville, Marquis de	Y
Freneau alias Fresneau	Fresneau	Y
Geay Pierre sieur de la Gasconnière	Banville, Sieur de	N
Lanoue St-Martin	Lanoue, Saint Martin	Y
Legras dit sans-façon	Legras	Y
Liebon, Jean dit Bonper	Liebon, Jean	Y
Saint-Marcel de	Saint-Marc	N
Simonde	E	N
Hermione,l'	Hermione, la frègate l'	Y
Héros,le	Héros, le vaisseau le	Y
Jeune Abraham,la flute le	Jeune Abraham, la flûte	Y
Courpignac (près Montendre)	Courpignac	Y
Fille (voir Farcot)	Fille	N